round_number,num_assets,num_states,asseta_endowments,assetb_endowments,cash_endowment,practice,x,G,L,p1,p2,p3,state_independent
1,2,2,1,1,300,TRUE,100,80,20,0.2,0,0.8,TRUE
2,2,2,1,1,300,TRUE,100,80,20,0.2,0,0.8,TRUE
3,2,2,1,1,300,TRUE,100,70,30,0.3,0,0.7,TRUE
4,2,2,1,1,300,TRUE,100,70,30,0.3,0,0.7,TRUE
5,2,2,1,1,300,TRUE,100,90,10,0.1,0,0.9,TRUE
6,2,2,1,1,300,TRUE,100,90,10,0.1,0,0.9,TRUE
7,2,2,1,1,300,FALSE,100,80,20,0.2,0,0.8,TRUE
8,2,2,1,1,300,FALSE,100,80,20,0.2,0,0.8,TRUE
9,2,2,1,1,300,FALSE,100,80,20,0.2,0,0.8,TRUE
10,2,2,1,1,300,FALSE,100,80,20,0.2,0,0.8,TRUE
11,2,2,1,1,300,FALSE,100,70,30,0.3,0,0.7,TRUE
12,2,2,1,1,300,FALSE,100,70,30,0.3,0,0.7,TRUE
13,2,2,1,1,300,FALSE,100,70,30,0.3,0,0.7,TRUE
14,2,2,1,1,300,FALSE,100,70,30,0.3,0,0.7,TRUE
15,2,2,1,1,300,FALSE,100,90,10,0.1,0,0.9,TRUE
16,2,2,1,1,300,FALSE,100,90,10,0.1,0,0.9,TRUE
17,2,2,1,1,300,FALSE,100,90,10,0.1,0,0.9,TRUE
18,2,2,1,1,300,FALSE,100,90,10,0.1,0,0.9,TRUE
19,2,2,1,1,300,FALSE,100,90,10,0.1,0,0.9,TRUE
20,2,2,1,1,300,FALSE,100,90,10,0.1,0,0.9,TRUE
21,2,2,1,1,300,FALSE,100,70,30,0.3,0,0.7,TRUE
22,2,2,1,1,300,FALSE,100,70,30,0.3,0,0.7,TRUE
23,2,2,1,1,300,FALSE,100,70,30,0.3,0,0.7,TRUE
24,2,2,1,1,300,FALSE,100,70,30,0.3,0,0.7,TRUE
25,2,2,1,1,300,FALSE,100,80,20,0.2,0,0.8,TRUE
26,2,2,1,1,300,FALSE,100,80,20,0.2,0,0.8,TRUE
27,2,2,1,1,300,FALSE,100,80,20,0.2,0,0.8,TRUE
28,2,2,1,1,300,FALSE,100,80,20,0.2,0,0.8,TRUE
29,2,2,1,1,300,FALSE,100,80,20,0.2,0,0.8,TRUE
30,2,2,1,1,300,FALSE,100,80,20,0.2,0,0.8,TRUE
31,2,2,1,1,300,FALSE,100,70,30,0.3,0,0.7,TRUE
32,2,2,1,1,300,FALSE,100,70,30,0.3,0,0.7,TRUE
33,2,2,1,1,300,FALSE,100,70,30,0.3,0,0.7,TRUE
34,2,2,1,1,300,FALSE,100,70,30,0.3,0,0.7,TRUE
35,2,2,1,1,300,FALSE,100,90,10,0.1,0,0.9,TRUE
36,2,2,1,1,300,FALSE,100,90,10,0.1,0,0.9,TRUE
37,2,2,1,1,300,FALSE,100,90,10,0.1,0,0.9,TRUE
38,2,2,1,1,300,FALSE,100,90,10,0.1,0,0.9,TRUE
39,2,2,1,1,300,FALSE,100,80,20,0.2,0,0.8,TRUE
40,2,2,1,1,300,FALSE,100,80,20,0.2,0,0.8,TRUE
